seqid	start	end	attributes	midpoint	LOD_closest
tig00000002	1464517	1470264	LF000408	1467390.5	2.38696023477216
tig00000002	1418590	1420713	LF000395	1419651.5	2.38696008821673
tig00000002	1446886	1452811	LF000403	1449848.5	2.38696023477216
tig00000002	1425266	1428252	LF000397	1426759	2.38696008821673
tig00000002	1454904	1458022	LF000405	1456463	2.38696023477216
tig00000002	1386714	1406831	LF000392	1396772.5	2.38696008315377
tig00000002	1375355	1376345	LF000388	1375850	2.38696027607936
tig00000002	1372689	1374576	LF000387	1373632.5	2.38696027607936
tig00000002	1423351	1424775	LF000396	1424063	2.38696008821673
tig00000002	1458748	1460487	LF000406	1459617.5	2.38696023477216
tig00000002	1384017	1385978	LF000391	1384997.5	2.38696027607936
tig00000002	1453083	1453847	LF000404	1453465	2.38696023477216
tig00000002	1377177	1379462	LF000389	1378319.5	2.38696027607936
